epoch,step,train_loss,val_loss
0,49,0.008582926355302334,
0,49,,0.00751526141539216
1,99,0.00541150476783514,
1,99,,0.005927183665335178
2,149,0.003662748960778117,
2,149,,0.005116399843245745
3,199,0.006748126354068518,
3,199,,0.004063015338033438
4,249,0.0029899622313678265,
4,249,,0.003863440826535225
5,299,0.001406845636665821,
5,299,,0.003827311797067523
6,349,0.002342310268431902,
6,349,,0.0033829782623797655
7,399,0.002273248042911291,
7,399,,0.0052841054275631905
8,449,0.003923668060451746,
8,449,,0.0037698715459555387
9,499,0.003189150243997574,
9,499,,0.004406705033034086
10,549,0.003499384969472885,
10,549,,0.0035314359702169895
11,599,0.002812825608998537,
11,599,,0.003624961944296956
12,649,0.003117076586931944,
12,649,,0.0031172363087534904
13,699,0.0015514609403908253,
13,699,,0.003640189301222563
14,749,0.004541575442999601,
14,749,,0.0032465129625052214
15,799,0.0028783816378563643,
15,799,,0.00546901673078537
16,849,0.0034201964735984802,
16,849,,0.003187754424288869
17,899,0.001022277632728219,
17,899,,0.003408699296414852
18,949,0.002159967552870512,
18,949,,0.0046304939314723015
19,999,0.0019469939870759845,
19,999,,0.003321274882182479
20,1049,0.0047509497962892056,
20,1049,,0.0035147496964782476
21,1099,0.002310526091605425,
21,1099,,0.003297095885500312
22,1149,0.0023096222430467606,
22,1149,,0.0035856219474226236
23,1199,0.004487526137381792,
23,1199,,0.004311149474233389
24,1249,0.002481729257851839,
24,1249,,0.0037946519441902637
25,1299,0.0038438066840171814,
25,1299,,0.0036365173291414976
26,1349,0.00286340294405818,
26,1349,,0.003518319223076105
27,1399,0.0024935121182352304,
27,1399,,0.00359015678986907
28,1449,0.0029140738770365715,
28,1449,,0.004440236836671829
29,1499,0.0005966182798147202,
29,1499,,0.0032909249421209097
30,1549,0.002395831048488617,
30,1549,,0.004086078144609928
31,1599,0.0017504313727840781,
31,1599,,0.004404051695019007
32,1649,0.003419809741899371,
32,1649,,0.003259507706388831
33,1699,0.002504297997802496,
33,1699,,0.005392936058342457
34,1749,0.0016716679092496634,
34,1749,,0.0033455882221460342
35,1799,0.0023282617330551147,
35,1799,,0.004054046701639891
36,1849,0.0021691524889320135,
36,1849,,0.0031291432678699493
37,1899,0.0016138310311362147,
37,1899,,0.00483838003128767
38,1949,0.003299717791378498,
38,1949,,0.0042832777835428715
39,1999,0.0034543906804174185,
39,1999,,0.00636645220220089
40,2049,0.004655348602682352,
40,2049,,0.0030673823785036802
41,2099,0.0023962478153407574,
41,2099,,0.003451010212302208
42,2149,0.0031111394055187702,
42,2149,,0.0031475573778152466
43,2199,0.0015525262570008636,
43,2199,,0.0034559136256575584
44,2249,0.005410143174231052,
44,2249,,0.003250648034736514
45,2299,0.0019115188624709845,
45,2299,,0.003435299266129732
46,2349,0.0028439282905310392,
46,2349,,0.003127156523987651
47,2399,0.0021669818088412285,
47,2399,,0.0033483596052974463
48,2449,0.0016159580554813147,
48,2449,,0.003933206666260958
49,2499,0.0018787516746670008,
49,2499,,0.0036145267076790333
50,2549,0.0033208662644028664,
50,2549,,0.0036200741305947304
51,2599,0.001421342953108251,
51,2599,,0.005066097714006901
52,2649,0.001857015653513372,
52,2649,,0.003866620594635606
53,2699,0.002891570096835494,
53,2699,,0.003940940368920565
54,2749,0.0025187262799590826,
54,2749,,0.0041477191261947155
55,2799,0.0019117299234494567,
55,2799,,0.003523237770423293
56,2849,0.0020193278323858976,
56,2849,,0.0037176243495196104
57,2899,0.0023721500765532255,
57,2899,,0.004873744212090969
58,2949,0.002408814150840044,
58,2949,,0.003277190960943699
59,2999,0.0016738538397476077,
59,2999,,0.004732052329927683
60,3049,0.003557258751243353,
60,3049,,0.0034185759723186493
61,3099,0.0032147038727998734,
61,3099,,0.004295135848224163
62,3149,0.0036168918013572693,
62,3149,,0.0033088293857872486
63,3199,0.001834151684306562,
63,3199,,0.003328397637233138
64,3249,0.0014614397659897804,
64,3249,,0.003698610467836261
65,3299,0.002132105641067028,
65,3299,,0.004835519473999739
66,3349,0.0024991517420858145,
66,3349,,0.0038391686975955963
67,3399,0.0017965382430702448,
67,3399,,0.0037288230378180742
68,3449,0.003414369188249111,
68,3449,,0.005511660594493151
69,3499,0.0021198363974690437,
69,3499,,0.005337754264473915
70,3549,0.0036856827791780233,
70,3549,,0.0036458245012909174
71,3599,0.0028294825460761786,
71,3599,,0.004210315644741058
72,3649,0.0013719744747504592,
72,3649,,0.00456753745675087
73,3699,0.0021181439515203238,
73,3699,,0.003500191727653146
74,3749,0.0025618874933570623,
74,3749,,0.004130930174142122
75,3799,0.004156702198088169,
75,3799,,0.003584671998396516
76,3849,0.003333789762109518,
76,3849,,0.005210276693105698
77,3899,0.0033544122707098722,
77,3899,,0.0032909864094108343
78,3949,0.002726410049945116,
78,3949,,0.0059930747374892235
79,3999,0.002170226536691189,
79,3999,,0.004215091001242399
80,4049,0.0032764491625130177,
80,4049,,0.007038430776447058
81,4099,0.0031703817658126354,
81,4099,,0.003344958880916238
82,4149,0.004275299608707428,
82,4149,,0.003317940980195999
83,4199,0.003731116186827421,
83,4199,,0.003940139897167683
84,4249,0.0014439248479902744,
84,4249,,0.0036665438674390316
85,4299,0.0014246776700019836,
85,4299,,0.004328185226768255
86,4349,0.002947008004412055,
86,4349,,0.005655420478433371
87,4399,0.002444461453706026,
87,4399,,0.0036269119009375572
88,4449,0.002694037277251482,
88,4449,,0.0033849196042865515
89,4499,0.001385729294270277,
89,4499,,0.0046434830874204636
90,4549,0.0016159185906872153,
90,4549,,0.005412138998508453
91,4599,0.0034601117949932814,
91,4599,,0.003109721699729562
92,4649,0.0018332218751311302,
92,4649,,0.0047492110170423985
93,4699,0.0016834193374961615,
93,4699,,0.004079596139490604
94,4749,0.004892973229289055,
94,4749,,0.004443340934813023
95,4799,0.002381441881880164,
95,4799,,0.0032959787640720606
96,4849,0.0038140180986374617,
96,4849,,0.004476720467209816
97,4899,0.0039335619658231735,
97,4899,,0.0041940114460885525
98,4949,0.0022779391147196293,
98,4949,,0.004394788295030594
99,4999,0.002992362482473254,
99,4999,,0.003358333371579647
